Frame,Landmark Index,X,Y,Z,dX,dY,dZ,dPosition,Velocity,Acceleration
4,0,0.16438794136047363,0.6102748513221741,1.3768861890639528e-06,0.0022672712802886963,-0.007555544376373291,4.345122306403937e-08,0.007888394632855027,0.23665183898565081,0.14102833219630045
4,1,0.3302119970321655,0.7635106444358826,0.015327314846217632,-0.003162592649459839,-0.0029981136322021484,-0.0026348093524575233,0.00509243536451975,0.15277306093559248,-0.30800493461570255
4,2,0.4620688855648041,0.7733733654022217,0.05022840574383736,-6.80387020111084e-05,-0.004712402820587158,-0.00396345928311348,0.0061579525085329765,0.1847385752559893,-0.4380877272222156
4,3,0.5612143278121948,0.7660887837409973,0.08688579499721527,0.001009523868560791,0.0013667941093444824,-0.006878957152366638,0.007085712108364893,0.21257136325094678,-0.6219525306858233
4,4,0.6428726315498352,0.744415819644928,0.13097521662712097,-0.002348959445953369,-0.00016623735427856445,-0.010336518287658691,0.010601361028084727,0.3180408308425418,-0.7763271816437531
4,5,0.5099075436592102,0.4577469229698181,0.13551004230976105,-0.007318377494812012,0.00137251615524292,0.002657666802406311,0.007906051010813573,0.2371815303244072,-0.8031881307230495
4,6,0.6199198961257935,0.39465028047561646,0.22165855765342712,-0.006687760353088379,-0.0012280941009521484,-0.00194646418094635,0.007072699376393811,0.21218098129181434,-1.1167422770429214
4,7,0.676719069480896,0.3836263418197632,0.2824662923812866,-0.005291104316711426,0.0017653703689575195,-0.008485347032546997,0.01015447840574146,0.30463435217224377,-1.2308749736336497
4,8,0.7087318301200867,0.390317440032959,0.3292687237262726,-0.0042691826820373535,0.003549516201019287,-0.01446947455406189,0.01549808633040062,0.4649425899120186,-1.259260990078693
4,9,0.4564697742462158,0.360293984413147,0.17608760297298431,-0.0056951045989990234,-0.002605050802230835,-0.0048049986362457275,0.007893574473587149,0.2368072342076145,-0.9260336005095097
4,10,0.5601540803909302,0.2527495324611664,0.2916826009750366,-0.0054874420166015625,0.00027936697006225586,-0.010939031839370728,0.012241424891420627,0.3672427467426188,-1.2363690403779692
4,11,0.6119480133056641,0.23981648683547974,0.36964860558509827,-0.002309739589691162,0.0020796358585357666,-0.021834969520568848,0.02205506010512021,0.6616518031536063,-1.1934076437540244
4,12,0.6419762372970581,0.23809367418289185,0.4292784631252289,-0.00019109249114990234,0.005794733762741089,-0.03068062663078308,0.031223649789522388,0.9367094936856717,-1.1399463496073008
4,13,0.395535945892334,0.3113449811935425,0.21319739520549774,-0.0042431652545928955,-0.006259024143218994,-0.01366354525089264,0.01561641134916641,0.4684923404749923,-0.9347167867614146
4,14,0.47676900029182434,0.21437078714370728,0.32549816370010376,-0.0029629170894622803,-0.003306180238723755,-0.02492833137512207,0.025320572872623764,0.759617186178713,-1.2581701485023378
4,15,0.5274496674537659,0.20910590887069702,0.3901773989200592,-0.0016427040100097656,-0.001242518424987793,-0.03629520535469055,0.036353600375204846,1.0906080112561454,-1.2160301066151011
4,16,0.5605061650276184,0.21798589825630188,0.432662695646286,0.00031697750091552734,0.00025197863578796387,-0.04394114017486572,0.043943005903513,1.31829017710539,-1.1619728016621411
4,17,0.3356485962867737,0.2976042926311493,0.24693290889263153,-0.005094319581985474,-0.004320263862609863,-0.02266286313533783,0.023626725065844987,0.7088017519753497,-0.9621875266937724
4,18,0.3759704828262329,0.2200416922569275,0.34940069913864136,-0.002514570951461792,-0.00952988862991333,-0.03479352593421936,0.036162567543022744,1.0848770262906824,-1.289683680412119
4,19,0.4070460796356201,0.20014208555221558,0.4048984944820404,-0.001680612564086914,-0.012206614017486572,-0.042294591665267944,0.0440529042004522,1.321587126013566,-1.3850092151736615
4,20,0.4280632436275482,0.18765783309936523,0.44636568427085876,0.0003215372562408447,-0.013053655624389648,-0.04759615659713745,0.04935479140049668,1.4806437420149003,-1.4228981808019965
5,0,0.15488794445991516,0.6085180044174194,1.261926740880881e-06,-0.009499996900558472,-0.0017568469047546387,-1.149594481830718e-07,0.009661079244607313,0.28983237733821937,0.05318053835256856
5,1,0.3124106526374817,0.7626011967658997,0.000590302050113678,-0.017801344394683838,-0.0009094476699829102,-0.014737012796103954,0.023127786393753957,0.6938335918126187,0.5410605308770262
5,2,0.44735485315322876,0.7782244086265564,0.027927158400416374,-0.014714032411575317,0.004851043224334717,-0.022301247343420982,0.0271547602317843,0.814642806953529,0.6299042316975396
5,3,0.552783727645874,0.7666490077972412,0.05994688719511032,-0.0084306001663208,0.0005602240562438965,-0.02693890780210495,0.028232846539587072,0.8469853961876121,0.6344140329366654
5,4,0.6390480995178223,0.7512574195861816,0.09953855723142624,-0.0038245320320129395,0.006841599941253662,-0.03143665939569473,0.0323990445689526,0.9719713370685781,0.6539305062260363
5,5,0.5002257823944092,0.46324604749679565,0.10469917953014374,-0.009681761264801025,0.005499124526977539,-0.03081086277961731,0.032761046029945604,0.9828313808983681,0.7456498505739608
5,6,0.6154777407646179,0.40051281452178955,0.17926031351089478,-0.004442155361175537,0.005862534046173096,-0.04239824414253235,0.04303153676160239,1.2909461028480715,1.0787651215562573
5,7,0.6736733913421631,0.3888714611530304,0.2339172661304474,-0.00304567813873291,0.005245119333267212,-0.04854902625083923,0.04892642825763645,1.4677928477290934,1.1631584955568495
5,8,0.7067948579788208,0.3948184847831726,0.2757275104522705,-0.0019369721412658691,0.004501044750213623,-0.053541213274002075,0.05376497729722986,1.6129493189168957,1.1480067290048772
5,9,0.44936853647232056,0.35957056283950806,0.1454300880432129,-0.007101237773895264,-0.000723421573638916,-0.030657514929771423,0.031477517982899494,0.9443255394869848,0.7075183052793703
5,10,0.5578458309173584,0.25241294503211975,0.24823734164237976,-0.0023082494735717773,-0.00033658742904663086,-0.04344525933265686,0.04350783682523695,1.3052351047571085,0.9379923580144897
