Gait_Cycle(%),Patient_Mean,Patient_Std,Reference_Mean,Reference_Std
0.0,65.0,1,40.0,2.5
1.0101010101010102,65.06342391965657,1,40.634239196565645,2.5
2.0202020202020203,65.12659245357375,1,41.26592453573749,2.5
3.0303030303030303,65.1892512443604,1,41.892512443604105,2.5
4.040404040404041,65.25114798718108,1,42.51147987181079,2.5
5.050505050505051,65.31203344569849,1,43.12033445698487,2.5
6.0606060606060606,65.37166245566033,1,43.71662455660328,2.5
7.070707070707071,65.42979491208918,1,44.297949120891715,2.5
8.080808080808081,65.48619673610047,1,44.86196736100469,2.5
9.090909090909092,65.5406408174556,1,45.40640817455598,2.5
10.101010101010102,65.59290792905465,1,45.929079290546404,2.5
11.111111111111112,65.64278760968654,1,46.42787609686539,2.5
12.121212121212121,65.69007901148211,1,46.90079011482112,2.5
13.131313131313131,65.73459170865753,1,47.345917086575334,2.5
14.141414141414142,65.77614646429176,1,47.761464642917566,2.5
15.151515151515152,65.81457595205033,1,48.14575952050336,2.5
16.161616161616163,65.84972542994952,1,48.49725429949514,2.5
17.171717171717173,65.88145336344758,1,48.81453363447582,2.5
18.181818181818183,65.90963199535452,1,49.09631995354518,2.5
19.191919191919194,65.93414786026511,1,49.341478602651065,2.5
20.202020202020204,65.95490224144407,1,49.54902241444074,2.5
21.212121212121215,65.97181156832355,1,49.71811568323542,2.5
22.222222222222225,65.9848077530122,1,49.84807753012208,2.5
23.232323232323235,65.99383846446125,1,49.93838464461254,2.5
24.242424242424242,65.99886733918301,1,49.98867339183008,2.5
25.252525252525253,65.99987412767388,1,49.998741276738755,2.5
26.262626262626263,65.99685477595195,1,49.968547759519424,2.5
27.272727272727273,65.98982144188093,1,49.898214418809324,2.5
28.282828282828284,65.97880244621479,1,49.78802446214779,2.5
29.292929292929294,65.96384215855994,1,49.638421585599424,2.5
30.303030303030305,65.94500081871468,1,49.450008187146686,2.5
31.313131313131315,65.92235429410458,1,49.223542941045814,2.5
32.323232323232325,65.89599377429134,1,48.95993774291336,2.5
33.333333333333336,65.86602540378443,1,48.66025403784438,2.5
34.343434343434346,65.83256985463477,1,48.325698546347716,2.5
35.35353535353536,65.79576184053083,1,47.957618405308324,2.5
36.36363636363637,65.75574957435425,1,47.55749574354258,2.5
37.37373737373738,65.71269417137886,1,47.126941713788625,2.5
38.38383838383839,65.6667690005163,1,46.66769000516291,2.5
39.3939393939394,65.6181589862206,1,46.18158986220605,2.5
40.40404040404041,65.56705986386277,1,45.6705986386277,2.5
41.41414141414142,65.51367739157341,1,45.13677391573406,2.5
42.42424242424243,65.45822652172741,1,44.5822652172741,2.5
43.43434343434344,65.40093053540662,1,44.009305354066136,2.5
44.44444444444445,65.34202014332567,1,43.420201433256686,2.5
45.45454545454546,65.28173255684143,1,42.8173255684143,2.5
46.46464646464647,65.22031053278654,1,42.2031053278654,2.5
47.47474747474748,65.15800139597334,1,41.5800139597335,2.5
48.484848484848484,65.09505604330418,1,40.95056043304182,2.5
49.494949494949495,65.03172793349806,1,40.317279334980675,2.5
50.505050505050505,64.96827206650194,1,39.682720665019325,2.5
51.515151515151516,64.90494395669582,1,39.04943956695817,2.5
52.525252525252526,64.84199860402666,1,38.4199860402665,2.5
53.535353535353536,64.77968946721346,1,37.79689467213459,2.5
54.54545454545455,64.71826744315857,1,37.1826744315857,2.5
55.55555555555556,64.65797985667433,1,36.579798566743314,2.5
56.56565656565657,64.59906946459338,1,35.990694645933864,2.5
57.57575757575758,64.54177347827259,1,35.417734782725894,2.5
58.58585858585859,64.48632260842659,1,34.86322608426594,2.5
